SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,LATITUDE,LONGITUDE
MLS Listing,Single Family Residential,5940 Bryant Ln,Inver Grove Heights,MN,55076,665000,5,4,Inver Grove Heights,4021,16727,1997,5,165,2,https://www.redfin.com/MN/Inver-Grove-Heights/5940-Bryant-Ln-55076/home/50732208,NORTHSTARMLS,6162390,44.8625678,-93.0474873
MLS Listing,Townhouse,14663 Sherwood Pl,Burnsville,MN,55306,319900,3,3,Burnsville,2004,1742,1988,5,160,344,https://www.redfin.com/MN/Burnsville/14663-Sherwood-Pl-55306/home/50699081,NORTHSTARMLS,6162605,44.736242,-93.263615
MLS Listing,Single Family Residential,1221 136th St W,Rosemount,MN,55068,493515,4,3,Ardan Place,2268,13503,2022,5,218,,https://www.redfin.com/MN/Rosemount/1221-136th-St-W-55068/home/178598654,NORTHSTARMLS,6162586,44.7514758,-93.1093341
MLS Listing,Single Family Residential,14692 Denmark Ct,Apple Valley,MN,55124,385000,5,3,Apple Valley,2672,13068,1977,5,144,,https://www.redfin.com/MN/Apple-Valley/14692-Denmark-Ct-55124/home/50038031,NORTHSTARMLS,6158296,44.7375948,-93.1567505
MLS Listing,Townhouse,4870 Bivens Ct #8701,Inver Grove Heights,MN,55076,260000,3,3,Inver Grove Heights,1776,,2004,5,146,336,https://www.redfin.com/MN/Inver-Grove-Heights/4870-Bivens-Ct-55076/unit-8701/home/50109612,NORTHSTARMLS,6157796,44.8783889,-93.0544395
MLS Listing,Single Family Residential,17985 Equinox Ave,Lakeville,MN,55044,490000,3,3,Lakeville,1968,8276,2018,5,249,,https://www.redfin.com/MN/Lakeville/17985-Equinox-Ave-55044/home/113770847,NORTHSTARMLS,6154349,44.688996,-93.173475
MLS Listing,Townhouse,13252 Huntington Ter,Apple Valley,MN,55124,449000,3,3,Apple Valley,2212,3789,1998,5,203,358,https://www.redfin.com/MN/Apple-Valley/13252-Huntington-Ter-55124/home/50688043,NORTHSTARMLS,6154385,44.7565384,-93.2409609
MLS Listing,Single Family Residential,958 Humboldt Ave,West Saint Paul,MN,55118,279000,4,2,West Saint Paul,1928,6969,1900,5,145,,https://www.redfin.com/MN/West-St-Paul/958-Humboldt-Ave-55118/home/50071909,NORTHSTARMLS,6162109,44.9172587,-93.0848008
MLS Listing,Single Family Residential,19741 Henley Ln,Lakeville,MN,55044,699900,5,4,Berres Ridge 5th,3516,12980,2021,5,199,,https://www.redfin.com/MN/Lakeville/19741-Henley-Ln-55044/home/177570194,NORTHSTARMLS,6162412,44.662117,-93.2296832
MLS Listing,Single Family Residential,976 Kay Ave,Mendota Heights,MN,55118,440000,3,2,Mendota Heights,2488,16117,1958,5,177,,https://www.redfin.com/MN/Mendota-Heights/976-Kay-Ave-55118/home/50046997,NORTHSTARMLS,6154784,44.8849669,-93.1389735
