PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE
Single Family Residential,18235 Euclid Ave,Farmington,55024,329900,4,2,Farmington,2158,16552.0,1970,4,0.0,6161220,44.6854184,-93.1789465
Townhouse,7563 Dawn Ave,Inver Grove Heights,55076,199900,3,2,Inver Grove Heights,1616,2221.0,1972,4,278.0,6158333,44.8400156,-93.0249605
Single Family Residential,3621 Sawgrass Trl S,Eagan,55123,815000,5,5,Eagan,4350,12022.0,2014,4,86.0,6160903,44.825264,-93.1380721
Single Family Residential,9605 320th St W,Northfield,55057,2200000,4,5,Northfield,7500,1132560.0,2003,4,0.0,6162542,44.492804,-93.260193
Single Family Residential,10241 205th St W,Lakeville,55044,1390000,3,2,Lakeville,960,49222.0,1920,4,0.0,6162989,44.654697,-93.273092
Multi-Family (2-4 Unit),15713 Maple Island Ct,Burnsville,55306,369900,4,3,Burnsville,2540,7405.0,1990,4,0.0,6162990,44.71876,-93.277979
Single Family Residential,22466 Cantrel Way,Farmington,55024,400000,3,3,Farmington,2559,10018.0,2014,4,0.0,6162936,44.6238354,-93.1331538
Single Family Residential,1403 Featherstone Rd,Hastings,55033,599000,3,2,Hastings,2656,174240.0,1955,4,0.0,6154910,44.745215,-92.881369
Single Family Residential,12974 Findlay Way,Apple Valley,55124,360000,5,2,Apple Valley,1980,11761.0,1973,4,0.0,6162537,44.7602913,-93.1939915
Single Family Residential,576 Michigan Ct,Eagan,55123,459900,4,3,Eagan,2504,30056.0,1976,4,0.0,6158861,44.7952091,-93.1125455
Townhouse,815 Evergreen Cir,Burnsville,55337,239900,3,2,Burnsville,1501,5009.0,1982,4,293.0,6159013,44.7480187,-93.2638208
Condo/Co-op,3100 Riverwood Dr #102,Hastings,55033,165000,2,1,Hastings,983,26264.151515151516,1988,4,250.0,6161772,44.7170558,-92.8687383
Single Family Residential,31630 Eveleth Ave,Northfield,55057,599000,6,4,Northfield,4670,217800.0,1923,4,0.0,6157979,44.4913688,-93.1795545
Single Family Residential,1058 Smith Ave S,West Saint Paul,55118,325000,3,3,West Saint Paul,2172,8755.0,1937,5,0.0,6162802,44.9145109,-93.101481
Single Family Residential,19800 Canada Ave,Farmington,55024,449900,4,3,Farmington,2368,16160.0,1999,5,0.0,6162536,44.6625385,-93.1314296
Condo/Co-op,15400 Chippendale Ave W #203,Rosemount,55068,223900,2,2,Rosemount,1107,26264.151515151516,2002,5,324.0,6162207,44.7251826,-93.1355443
Single Family Residential,13832 Adan Ave,Rosemount,55068,570000,4,4,Rosemount,2447,8668.0,2020,5,33.0,6162789,44.7504983,-93.0780091
Townhouse,5356 Upper 147th St W,Apple Valley,55124,245000,2,1,Apple Valley,1576,26264.151515151516,1988,5,347.0,6162766,44.735612,-93.174707
Single Family Residential,1725 Congress St,South Saint Paul,55075,335000,4,2,South Saint Paul,1835,7187.0,1965,5,0.0,6145103,44.8995755,-93.0561136
Single Family Residential,5612 162nd St W,Lakeville,55044,599900,3,3,Lakeville,2648,10497.0,2018,5,0.0,6162649,44.7144379,-93.1786327
Single Family Residential,5940 Bryant Ln,Inver Grove Heights,55076,665000,5,4,Inver Grove Heights,4021,16727.0,1997,5,2.0,6162390,44.8625678,-93.0474873
Townhouse,14663 Sherwood Pl,Burnsville,55306,319900,3,3,Burnsville,2004,1742.0,1988,5,344.0,6162605,44.736242,-93.263615
Single Family Residential,1221 136th St W,Rosemount,55068,493515,4,3,Ardan Place,2268,13503.0,2022,5,0.0,6162586,44.7514758,-93.1093341
